/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1354	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1366	module_export				return e				return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1369	module_export			return world_query_iter_next			return world_query_iter_next
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1429	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1463	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1500	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1540	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1583	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1629	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1678	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1730	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1765	module_export			local output = {}			local output = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1788	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1829	module_export		return world_query_iter_next		return world_query_iter_next
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1837	module_export		return query_next		return query_next
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1852	module_export		local archetypes_map = {}		local archetypes_map = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1931	module_export				return NOOP				return NOOP
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1983	module_export			return world_query_iter_next			return world_query_iter_next
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	1997	module_export						return nil						return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	2009	module_export				return e				return e
